1	íó	íó	PART	_	_	_	_	_	@mva1988f-words#@mva1988f#3793.074#3793.407				
2	îíè	îíè	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@mva1988f-words#@mva1988f#3793.407#3793.74				
3	äîñòàòî÷íî	äîñòàòî÷íî	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3793.74#3794.073				
4	áîëüøèå	áîëüøîé	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@mva1988f-words#@mva1988f#3794.073#3794.406				
5	áûëè	áûòü	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3794.406#3794.739				
6	òî	òî	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3794.739#3795.072				
7	åñòü	áûòü	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3795.072#3795.405				
8	ìû	ìû	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@mva1988f-words#@mva1988f#3795.405#3795.738				
9	íà÷àëè	íà÷àòü	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3795.738#3796.074				
10	èç	èç	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3797.103#3798.045				
11	—åõèè	—åõèß	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3798.221#3799.045				
12	ïðîåõàëè	ïðîåõàòü	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3799.545#3800.309				
13	ƒîëëàíäèþ	ƒîëëàíäèß	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3800.309#3801.073				
14	ƒåðìàíèþ	ƒåðìàíèß	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3801.073#3801.837				
15	˜âåöèþ	˜âåöèß	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3801.837#3802.603				
16	÷àñòü	÷àñòü	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3803.545#3804.045				
17	ˆñïàíèè	ˆñïàíèß	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3804.045#3804.545				
18	îäèí	îäèí	NUM	_	Animacy=Inan|Case=Acc|Gender=Masc	_	_	_	@mva1988f-words#@mva1988f#3804.868#3805.417				
19	ãîðîä	ãîðîä	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3805.417#3805.966				
20	ˆòàëèè	ˆòàëèß	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3805.966#3806.515				
21	äâà	äâà	NUM	_	Animacy=Inan|Case=Acc|Gender=Masc	_	_	_	@mva1988f-words#@mva1988f#3808.422#3808.951				
22	ììì	ììì	INTJ	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3809.215#3809.686				
23	ïîòîì	ïîòîì	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3809.744#3810.126				
24	ïîëåòåëè	ïîëåòåòü	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3810.126#3810.508				
25	â	â	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3810.508#3810.89				
26	îâóþ	íîâûé	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3810.89#3811.272				
27	‡åëàíäèþ	‡åëàíäèß	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3811.272#3811.654				
28	ïîòîì	ïîòîì	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3811.654#3812.036				
29	â	â	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3812.036#3812.418				
30	€âñòðàëèþ	€âñòðàëèß	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3812.418#3812.803				
31	ïîòîì	ïîòîì	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3812.92#3813.351				
32	â	â	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3813.351#3813.782				
33	—åðíîãîðèþ	—åðíîãîðèß	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3813.782#3814.214				
34	ïîòîì	ïîòîì	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3814.773#3815.008				
35	â	â	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3815.008#3815.243				
36	‘åðáèþ	‘åðáèß	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3815.243#3815.478				
37	ïîòîì	ïîòîì	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3815.478#3815.713				
38	âñÞ	âñå	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3815.713#3815.95				
39	ïîñëå	ïîñëå	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3816.185#3816.508				
40	òàì	òàì	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3816.508#3816.831				
41	êàæäîãî	êàæäûé	DET	_	Case=Gen|Gender=Neut|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3816.831#3817.154				
42	âûñòóïëåíèß	âûñòóïëåíèå	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3817.154#3817.479				
43	òàì	òàì	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3817.714#3818.126				
44	ñóïåð	ñóïåð	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3818.391#3818.718				
45	áîëüøàß	áîëüøîé	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3818.718#3819.045				
46	î÷åðåäü	î÷åðåäü	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3819.045#3819.372				
47	òû	òû	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@mva1988f-words#@mva1988f#3819.372#3819.699				
48	ñèäèøü	ñèäåòü	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3819.699#3820.026				
49	ïîäïèñûâàåøü	ïîäïèñûâàòü	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3820.026#3820.353				
50	ñîîòâåòñòâåííî	ñîîòâåòñòâåííî	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3820.353#3820.685				
51	ñ	ñ	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3821.126#3821.384				
52	êàæäûì	êàæäûé	DET	_	Case=Ins|Gender=Masc|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3821.384#3821.642				
53	÷åëîâåêîì	÷åëîâåê	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3821.642#3821.9				
54	êòî	êòî	PRON	_	Case=Nom	_	_	_	@mva1988f-words#@mva1988f#3821.9#3822.158				
55	ïîäõîäèò	ïîäõîäèòü	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3822.158#3822.42				
56	îáùàåøüñß	îáùàòüñß	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@mva1988f-words#@mva1988f#3822.832#3823.135				
57	è	è	CCONJ	_	_	_	_	_	@mva1988f-words#@mva1988f#3823.135#3823.438				
58	î÷åíü	î÷åíü	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3823.438#3823.741				
